run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time
0,7,5.115021856124244,21.57284454497007,0.99409044274341,1.2181674107530687,16.512354131232737,4.200438738983299,1,18.036565293377286,0,4.0
1,17,17.697298886910296,15.770031906460066,1.0,7.408496426067272,24.99772402839588,10.408496426067272,10,16.451420607297887,0,4.0
2,11,4.724143634219729,8.034393962046094,0.9355187555756853,1.3612565446942875,11.197320213912327,4.167812811421342,0,,0,4.0
3,13,1.8477180977669434,12.14135000318052,0.5954232470013711,0.9930279879493307,4.805288094413518,2.779297728953444,6,4.464515472267437,0,4.0
4,11,1.5686398666443717,7.354104946737317,0.7694699441801792,0.43137596332720224,8.801759719891717,2.73978579586774,0,,0,4.0
0,7,4.036302906959148,21.57284454497007,0.9325361802355009,0.8939738349201087,16.302029623671025,3.691582375626612,1,11.541135955049462,1,4.5
1,15,12.5402131356556,13.668467016128293,0.9886227112343603,5.545222005735508,18.19926303337167,8.511090139438588,6,17.947495965908043,1,4.5
2,9,3.900619445337931,8.588198457885582,0.8114200613057473,0.9845665478777874,11.115014881779752,3.418826731795029,0,,1,4.5
3,8,0.3638948814779234,11.831004147141243,0.4861522779431579,0.26795437275685413,3.701763569971396,1.726411206586328,1,8.1709107399287,1,4.5
4,7,1.2344920780843143,8.905688478884091,0.6832837158234973,0.216036113664755,9.386075557725304,2.265887261135247,0,,1,4.5
0,7,3.227077467801481,21.57284454497007,0.8743911437929205,0.6102042855882626,15.849646506571181,3.2333777169670244,1,5.045706616721617,2,5.0
1,16,9.53180546952816,14.448494733090348,0.9723013018353297,4.2722860770385935,17.16072009407674,7.1891899825445815,6,12.163884406564497,2,5.0
2,5,4.381776106856746,6.131368325326914,0.7363943173325358,0.6994593134267371,10.513144432183662,2.9086422654243442,0,,2,5.0
3,8,0.3438193453909589,11.831004147141243,0.3610940215351938,0.09269368377477001,3.7017635699713978,1.1759757483803515,1,1.3010119332540881,2,5.0
4,6,1.0055229127618535,7.945834799960267,0.6960530229264622,0.150828436914278,8.951357712722123,2.2389875056936646,0,,2,5.0
0,7,2.228618121675344,19.67156947593792,0.82016114479293,0.3900081712931852,15.839306981822876,2.850491605671975,0,,3,5.5
1,15,6.073048190006584,14.277811957008055,0.9451605417276016,3.125365468643991,13.016982276056313,5.960847093826796,5,12.444394658969312,3,5.5
2,6,4.101075968881254,7.457339491910215,0.7737926727771068,0.6151613953321882,11.55841546079147,2.936539413663508,0,,3,5.5
3,5,0.0,11.566853587047909,0.2801655687454971,0.0,4.647049765875366,0.8404967062364912,0,,3,5.5
4,6,0.9325495915277339,7.945834799960267,0.681686408586344,0.1398824387291601,4.2492324812008135,2.1849416644881923,0,,3,5.5
0,8,1.6999109952422717,17.667843296737185,0.7489162822278963,0.33998219904845434,13.551226088195568,2.5867310457321437,0,,4,6.0
1,14,5.314189884736763,14.277811957008055,0.9042673196614375,2.359263354010003,12.396091979457847,5.072065312994314,4,9.36381940696369,4,6.0
2,6,3.329169014870415,7.457339491910215,0.7987525769691827,0.4993753522305623,12.632589286393614,2.89563308313811,0,,4,6.0
3,5,0.0,11.566853587047909,0.2527720252291595,0.0,4.647049765875366,0.7583160756874785,0,,4,6.0
4,6,0.7507704449842217,7.945834799960267,0.6379188056038891,0.11261556674763326,4.028549223935391,2.0263719835593004,0,,4,6.0
0,7,1.6597287631166497,16.208614666814025,0.6815191523242731,0.29045253354541367,13.184069618027781,2.3350099905182327,0,,5,6.5
1,14,3.9944502864768077,12.422172878420142,0.8540372485907943,1.844229077189322,10.80456326536842,4.406340822961704,4,7.950583774322633,5,6.5
2,6,2.4115774946195287,12.743233578940206,0.8356218452602846,0.3617366241929293,15.154811073559737,2.868602159973783,0,,5,6.5
3,5,0.0,11.566853587047909,0.2259411784139999,0.0,4.647049765875364,0.6778235352419998,0,,5,6.5
4,6,0.33706858898930037,12.241529379390323,0.5658793059051798,0.05056028834839506,10.346011924930403,1.7481982060639347,0,,5,6.5
0,7,1.3767021030992765,16.208614666814025,0.6308985068323953,0.2409228680423734,11.577507783978175,2.133618388539559,0,,6,7.0
1,14,2.000380222956439,10.218411576195086,0.803385832124963,1.2449162636998303,9.449208708083177,3.65507376007472,5,6.358645708277054,6,7.0
2,6,1.4099598606700579,12.743233578940206,0.8730202007048555,0.21149397910050868,14.153193439610261,2.8305545812150754,0,,6,7.0
3,5,0.0,3.826586061789871,0.21612788246070705,0.0,3.8682161664490664,0.6483836473821212,0,,6,7.0
4,5,0.22575561235519218,11.976212421402511,0.546970845040854,0.028219451544399022,10.275377723661302,1.6691319866669612,0,,6,7.0
