"scenario","interarrival_time","mean","std_dev","ci_lower","ci_upper","metric"
1,4,0.840376582027173,0.227366603761406,0.558063655742774,1.12268950831157,"utilisation_doctor"
2,4.5,0.83730158680567,0.130540680097091,0.675213924028076,0.999389249583263,"utilisation_doctor"
3,5,0.737243747346887,0.100649635915504,0.612270717998289,0.862216776695485,"utilisation_doctor"
4,5.5,0.716345194383401,0.0793079977448164,0.617871308814038,0.814819079952765,"utilisation_doctor"
5,6,0.640800551843375,0.0175069760531676,0.619062769960741,0.662538333726008,"utilisation_doctor"
6,6.5,0.58342797207994,0.0585912083232236,0.510677378093736,0.656178566066143,"utilisation_doctor"
7,7,0.469409241281787,0.0878057987812629,0.360383942101569,0.578434540462005,"utilisation_doctor"
