"scenario","interarrival_time","number_of_doctors","mean","std_dev","ci_lower","ci_upper","metric"
1,4,3,3.11446415167494,1.12995472033399,1.71144005583582,4.51748824751406,"mean_patients_in_system"
2,5,3,1.94644616259206,0.862384570465063,0.875654288839174,3.01723803634495,"mean_patients_in_system"
3,6,3,1.58808161684113,0.484483859565595,0.986515450707728,2.18964778297454,"mean_patients_in_system"
4,7,3,1.40730619082104,0.451238702442782,0.847019339401652,1.96759304224042,"mean_patients_in_system"
5,8,3,1.20532429740404,0.465682771178188,0.627102765848325,1.78354582895976,"mean_patients_in_system"
6,4,4,1.77971385381031,0.551513729848548,1.09491911094229,2.46450859667832,"mean_patients_in_system"
7,5,4,1.51298472622187,0.545276096141661,0.835935028561677,2.19003442388207,"mean_patients_in_system"
8,6,4,1.55504306427198,0.504393564013417,0.928755734910834,2.18133039363313,"mean_patients_in_system"
9,7,4,1.33348357893222,0.549014879708451,0.651791568320062,2.01517558954437,"mean_patients_in_system"
10,8,4,1.2490966078712,0.399897353365053,0.752558461220847,1.74563475452156,"mean_patients_in_system"
11,4,5,1.9114664178301,0.706455675490304,1.03428583924707,2.78864699641313,"mean_patients_in_system"
12,5,5,1.51298472622187,0.545276096141661,0.835935028561677,2.19003442388207,"mean_patients_in_system"
13,6,5,1.55504306427198,0.504393564013417,0.928755734910834,2.18133039363313,"mean_patients_in_system"
14,7,5,1.33348357893222,0.549014879708451,0.651791568320062,2.01517558954437,"mean_patients_in_system"
15,8,5,1.2490966078712,0.399897353365053,0.752558461220847,1.74563475452156,"mean_patients_in_system"
