scenario,interarrival_time,number_of_doctors,mean,std_dev,ci_lower,ci_upper,metric
0,4,3,6.292057008718126,1.0197846499397418,5.727319093210537,6.8567949242257145,mean_patients_in_system
1,4,4,3.0720819030426223,0.11945643268624853,3.0059291355998186,3.138234670485426,mean_patients_in_system
2,4,5,2.647449922004563,0.05251833550349866,2.618366237209026,2.6765336068000996,mean_patients_in_system
3,5,3,2.941291902131583,0.1771936528840956,2.8431653278819584,3.0394184763812073,mean_patients_in_system
4,5,4,2.177889686801151,0.051697647686476764,2.1492604837700684,2.2065188898322337,mean_patients_in_system
5,5,5,2.0374335698960855,0.03975297118338283,2.015419108232377,2.059448031559794,mean_patients_in_system
6,6,3,2.048748631813962,0.09629665700253415,1.995421320651577,2.102075942976347,mean_patients_in_system
7,6,4,1.7391035548937714,0.04984446026360648,1.711500612850534,1.766706496937009,mean_patients_in_system
8,6,5,1.6807653158036153,0.04365009261333842,1.6565927002267613,1.7049379313804693,mean_patients_in_system
9,7,3,1.6251153912775154,0.06080697307604723,1.5914416119895822,1.6587891705654485,mean_patients_in_system
10,7,4,1.465130043064603,0.039295125438181505,1.4433691279234708,1.4868909582057352,mean_patients_in_system
11,7,5,1.4343535371741352,0.0367182042476944,1.4140196734223616,1.4546874009259088,mean_patients_in_system
12,8,3,1.3663918787555887,0.04935610065675293,1.3390593812482723,1.393724376262905,mean_patients_in_system
13,8,4,1.2715924165015855,0.034175734291187226,1.2526665256817082,1.2905183073214628,mean_patients_in_system
14,8,5,1.2535563008769541,0.03140414125150907,1.2361652671231798,1.2709473346307285,mean_patients_in_system
