scenario,interarrival_time,number_of_doctors,mean,std_dev,ci_lower,ci_upper,metric
0,4,3,25.054328328677432,3.787136496655019,22.9570820414441,27.151574615910764,mean_time_in_system
1,4,4,12.25411685805842,0.4009969917907433,12.032052125781759,12.476181590335083,mean_time_in_system
2,4,5,10.56119188745622,0.155248979912872,10.475217868033731,10.647165906878708,mean_time_in_system
3,5,3,14.741362009302396,0.7799848560880259,14.309420793300895,15.173303225303897,mean_time_in_system
4,5,4,10.919630217232706,0.19096516189544668,10.813877235493104,11.025383198972309,mean_time_in_system
5,5,5,10.216269078716692,0.11895422940038484,10.150394422183712,10.282143735249672,mean_time_in_system
6,6,3,12.294044339939157,0.49577524026485237,12.019493163115706,12.568595516762608,mean_time_in_system
7,6,4,10.436073582850304,0.1996462005479606,10.32551320214333,10.546633963557277,mean_time_in_system
8,6,5,10.085795643036104,0.14795422145702336,10.003861326196636,10.16772995987557,mean_time_in_system
9,7,3,11.376394206328156,0.43908034834954496,11.133239614148405,11.619548798507907,mean_time_in_system
10,7,4,10.254322259381494,0.23144497437264377,10.126152304686023,10.382492214076965,mean_time_in_system
11,7,5,10.038283967268317,0.18525914310581046,9.935690873410236,10.140877061126398,mean_time_in_system
12,8,3,10.908671349410643,0.3828212839463786,10.696671988643061,11.120670710178224,mean_time_in_system
13,8,4,10.150232526730445,0.23785096292747565,10.018515053817833,10.281949999643057,mean_time_in_system
14,8,5,10.005752454884073,0.2026059253890561,9.89355303319199,10.117951876576155,mean_time_in_system
