scenario,interarrival_time,mean,std_dev,ci_lower,ci_upper,metric
0,4.0,13.262889237569237,7.809683711982843,3.5658861350417883,22.959892340096687,mean_time_in_system
1,4.5,11.74082933330383,5.767993614887657,4.578919319828626,18.902739346779036,mean_time_in_system
2,5.0,11.23532646310502,5.451946192617937,4.4658411555872295,18.00481177062281,mean_time_in_system
3,5.5,9.86219739314937,5.178291279525848,3.4324995391496076,16.29189524714913,mean_time_in_system
4,6.0,9.451101268771557,4.692782792453591,3.6242418239917953,15.27796071355132,mean_time_in_system
5,6.5,10.82730112955234,3.9594621873096,5.910979479320872,15.74362277978381,mean_time_in_system
6,7.0,9.864700764356396,3.7955234836199336,5.151935900408581,14.57746562830421,mean_time_in_system
