"","scenario","interarrival_time","mean","std_dev","ci_lower","ci_upper"
"1",1,4,3.45240235901296,4.74750937375998,2.51039350128997,4.39441121673596
"2",2,4.5,2.75851815014593,4.25156308660785,1.9149157954273,3.60212050486457
"3",3,5,1.38502362349355,2.36566412035245,0.915624538557236,1.85442270842986
"4",4,5.5,1.94874079461419,3.84962233329255,1.18489220552172,2.71258938370667
"5",5,6,1.08756462002784,2.54464336440971,0.582652170087477,1.5924770699682
"6",6,6.5,0.561453434612931,1.29846516747486,0.303809774978119,0.819097094247742
"7",7,7,0.452826355887638,1.08104226667244,0.238324116796352,0.667328594978923
