scenario,interarrival_time,mean,std_dev,ci_lower,ci_upper,metric
0,4.0,6.292057008718126,1.0197846499397418,5.727319093210537,6.8567949242257145,mean_patients_in_system
1,4.5,3.969574176312675,0.3560417479314536,3.7724048282818248,4.1667435243435245,mean_patients_in_system
2,5.0,2.941291902131583,0.1771936528840956,2.8431653278819584,3.0394184763812073,mean_patients_in_system
3,5.5,2.409381259821918,0.12878232418367278,2.3380639858092063,2.4806985338346297,mean_patients_in_system
4,6.0,2.048748631813962,0.09629665700253415,1.995421320651577,2.102075942976347,mean_patients_in_system
5,6.5,1.8026233802549037,0.06189611597867033,1.7683464537313718,1.8369003067784355,mean_patients_in_system
6,7.0,1.6251153912775154,0.06080697307604723,1.5914416119895822,1.6587891705654485,mean_patients_in_system
