,scenario,interarrival_time,mean,std_dev,ci_lower,ci_upper
0,0,4.0,4.163566434253146,6.460040787551825,2.8817541904433623,5.445378678062929
1,1,4.5,3.0182205311498853,5.295031154209249,1.9675714736550276,4.068869588644743
2,2,5.0,2.459930234969363,4.742006867547161,1.5190131938935965,3.4008472760451296
3,3,5.5,1.8683623514671164,4.064712486419607,1.0618352096108374,2.6748894933233953
4,4,6.0,1.510394008320952,3.498634999817651,0.816188920942976,2.204599095698928
5,5,6.5,1.2629006070908906,3.0754938837208927,0.6526558972568637,1.8731453169249175
6,6,7.0,1.0477142764023246,2.852390308678313,0.4817381561224653,1.613690396682184
