scenario,interarrival_time,mean,std_dev,ci_lower,ci_upper,metric
0,4.0,15.031006697114995,3.7524595451995433,12.952963865515438,17.10904952871455,mean_wait_time
1,4.5,7.806317149477113,1.3832577061976696,7.040294564557798,8.57233973439643,mean_wait_time
2,5.0,4.736389203185383,0.7363257678510668,4.328625584371051,5.1441528219997155,mean_wait_time
3,5.5,3.2388018487704473,0.5166712727210176,2.952678834880837,3.5249248626600576,mean_wait_time
4,6.0,2.3029624727985856,0.41496138706092817,2.073164516182183,2.532760429414988,mean_wait_time
5,6.5,1.7424834156497366,0.3284052313399269,1.560618660380419,1.9243481709190542,mean_wait_time
6,7.0,1.3917477313633688,0.31762539433693143,1.2158526508473857,1.567642811879352,mean_wait_time
