scenario,interarrival_time,mean,std_dev,ci_lower,ci_upper,metric
0,4.0,0.8589004779001291,0.1742654826468947,0.6425213019678772,1.075279653832381,mean_utilisation_tw
1,4.5,0.7804029893084528,0.20216184949011826,0.529385898986285,1.0314200796306205,mean_utilisation_tw
2,5.0,0.7280467614844883,0.23282211721993223,0.43895992054692184,1.0171336024220548,mean_utilisation_tw
3,5.5,0.7001932673258959,0.253270557423119,0.38571633436860997,1.0146702002831818,mean_utilisation_tw
4,6.0,0.668525401938313,0.2513879951918314,0.356385978727995,0.980664825148631,mean_utilisation_tw
5,6.5,0.6325997460989063,0.2561583769732917,0.31453711157286196,0.9506623806249508,mean_utilisation_tw
6,7.0,0.614080653432755,0.2578948983214237,0.2938618428666228,0.9342994639988871,mean_utilisation_tw
