scenario,interarrival_time,mean,std_dev,ci_lower,ci_upper,metric
0,4.0,13.262889237569237,7.809683711982843,3.565886135041806,22.959892340096665,mean_time_in_system
1,4.5,11.74082933330383,5.767993614887657,4.57891931982864,18.902739346779022,mean_time_in_system
2,5.0,11.23532646310502,5.451946192617937,4.465841155587243,18.004811770622798,mean_time_in_system
3,5.5,9.86219739314937,5.178291279525848,3.43249953914962,16.291895247149117,mean_time_in_system
4,6.0,9.451101268771557,4.692782792453591,3.624241823991806,15.277960713551309,mean_time_in_system
5,6.5,10.82730112955234,3.9594621873096,5.910979479320881,15.7436227797838,mean_time_in_system
6,7.0,9.864700764356396,3.7955234836199336,5.15193590040859,14.577465628304202,mean_time_in_system
