"scenario","interarrival_time","mean","std_dev","ci_lower","ci_upper","metric"
1,4,0.848827503737058,0.215780372381709,0.580900783831688,1.11675422364243,"utilisation_doctor"
2,4.5,0.838129394417757,0.131755242366931,0.674533653396127,1.00172513543939,"utilisation_doctor"
3,5,0.749774916329704,0.107084449203106,0.616812010986727,0.882737821672681,"utilisation_doctor"
4,5.5,0.700769671965257,0.051334799988166,0.63702909896496,0.764510244965554,"utilisation_doctor"
5,6,0.598553569965843,0.0907685892495733,0.485849480526902,0.711257659404783,"utilisation_doctor"
6,6.5,0.553002622497653,0.0659413983280869,0.471125562202454,0.634879682792853,"utilisation_doctor"
7,7,0.46889496908991,0.0850965603113317,0.363233633780355,0.574556304399466,"utilisation_doctor"
