scenario,interarrival_time,mean,std_dev,ci_lower,ci_upper,metric
0,4.0,6.1905644683331165,6.63201742637757,-2.0441728054598958,14.425301742126129,mean_wait_time
1,4.5,4.415104489502983,4.820637162534023,-1.5705071236186603,10.400716102624628,mean_wait_time
2,5.0,3.6980002604678397,3.6476898436199563,-0.8312048949685789,8.227205415904258,mean_wait_time
3,5.5,2.667058374418183,2.4480157286476443,-0.37255462288015195,5.706671371716518,mean_wait_time
4,6.0,2.218808067966734,2.1308324606270546,-0.42696988459781915,4.864586020531288,mean_wait_time
5,6.5,1.6805650266404573,1.6215856330036051,-0.3328994738645805,3.694029527145495,mean_wait_time
6,7.0,1.0025595598161932,0.8529586401739574,-0.05652847564464847,2.0616475952770346,mean_wait_time
