run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time
12,4573,6.349712525179289,9.864092059611478,0.7453157812858476,1.440339056430798,16.21423065453673,3.6762864002883298,0,,1,4.5
13,4425,8.3485887104096,10.203854593384426,0.7456740335166191,1.8348995325102693,18.533077587590984,4.071921633060114,9,12.270514760488973,1,4.5
14,4571,8.990702503771656,10.079177331874398,0.7607278071240231,2.037124316843536,19.0634633279251,4.319307738215579,5,3.3757190688411356,1,4.5
0,4048,4.155456802271765,9.908492340625259,0.6632072702010707,0.8343893420434575,14.06252945874013,2.8240111526466674,0,,2,5.0
1,4038,4.764273084192769,9.976673387707303,0.6658658750729496,0.954188609935074,14.73786463437683,2.951786235153927,1,3.071935404885153,2,5.0
2,4054,6.2547565309056825,10.087097054500568,0.6770299269022856,1.2586262374819104,16.333939542590436,3.289716018188766,0,,2,5.0
3,4013,5.410426593427259,9.976294136062485,0.6616751758531192,1.0769862063206146,15.38537087129556,3.0620117338799746,0,,2,5.0
4,3941,3.662461486718333,10.022256536746408,0.653478504647983,0.7160038253348275,13.685141957949698,2.6764393392787733,0,,2,5.0
5,4078,4.412299212443008,10.012961127625521,0.6758436304550127,0.8934187367781896,14.42360042769953,2.9209496281432257,0,,2,5.0
6,4058,5.794168357815886,9.993199558298596,0.6707194330068992,1.166470782709779,15.787594414070018,3.1786290817304765,0,,2,5.0
7,3872,4.581308718113422,10.046771695002025,0.6420556349839592,0.879902150621784,14.620662929954209,2.8060690555736616,0,,2,5.0
8,3992,3.8757056020629737,9.996389359725816,0.6598571691891453,0.7674512283450095,13.875000172359425,2.7470227359124424,0,,2,5.0
9,3956,4.86095378812666,10.184734734154645,0.6664786808146531,0.9547572007633558,15.03904655810219,2.9541932432073157,0,,2,5.0
10,4095,4.631730873721623,10.156849754640572,0.687699665766951,0.9408203337247046,14.793417479479242,3.003919331025565,0,,2,5.0
