run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time,number_of_doctors
0,5176,18.43035861982928,9.853631344843015,0.8437191162667594,4.73192143929743,28.28510533854993,7.263078788097719,0,,0,4,3
1,5077,13.655535616455882,10.057051461831671,0.8437472314003434,3.4390012792541294,23.702126969536504,5.970242973455192,4,12.656712026488094,0,4,3
2,5144,20.839376465142653,10.02616387373688,0.8527544141286788,5.317348836145531,30.86554033887952,7.87561207853154,0,,0,4,3
3,4983,11.927174080436435,9.905927068679846,0.8187959282399113,2.9824562044803797,21.822719188536286,5.438843989200125,4,16.42823697348831,0,4,3
4,4965,11.272876198790255,9.97002736980012,0.8178796040885863,2.775703362148334,21.244491072739937,5.229342174414108,2,5.447603157161211,0,4,3
5,5055,11.99883026977314,9.976158885189049,0.8342819077254945,3.0126895655436323,21.975771242074458,5.515535288720102,0,,0,4,3
6,5103,19.628380014810215,10.163423145840538,0.8574418465532626,4.968433691248841,29.794635581911947,7.540759230908649,0,,0,4,3
7,4970,14.50508275623946,10.093432432559721,0.8294986884934693,3.5759969393886104,24.601019209213362,6.064493004869013,0,,0,4,3
8,4973,10.352237838909113,10.062244790050539,0.8254576209076889,2.553108236260746,20.400099136697076,5.029481098983833,6,8.516116192515861,0,4,3
9,4955,12.769865701134659,10.194966170385175,0.836081480925738,3.1395192797679363,22.968615832103918,5.64776372254517,1,0.03066770419536624,0,4,3
10,5094,19.748195142345864,10.232879540811792,0.8615586701072953,4.9890714072374545,29.982577911627242,7.573747417559324,1,2.1217099395071273,0,4,3
11,5021,13.496419537412297,9.896360022244565,0.8201760221677995,3.376196075600145,23.360275337546863,5.83672414210356,13,35.54499242282607,0,4,3
12,5128,12.926467188648964,9.909320603191242,0.8395175275011404,3.28745491331522,22.831919637798446,5.806007495818663,1,0.6200959525012877,0,4,3
13,5006,12.949332991600382,10.058402732930453,0.8295036719662748,3.2259723432973946,22.98732444129634,5.714483359196217,22,21.72729746938785,0,4,3
14,5120,20.96496803519636,10.04620968582138,0.8500312443872329,5.324646633206926,30.992703691649627,7.8747403663686555,4,21.750742483200156,0,4,3
0,5176,2.150944293089972,9.853631344843015,0.6327893372000698,0.5522464117576237,12.002545231264394,3.083403760557909,0,,1,4,4
1,5077,2.3130159904153214,10.057999289699298,0.6329765395284231,0.5824991162370331,12.358905566535425,3.114405274350733,0,,1,4,4
2,5144,3.0047768341041237,10.02616387373688,0.6395658105965081,0.7666950414003776,13.030940707840992,3.324958283786414,0,,1,4,4
3,4983,2.097164623146879,9.906484012287244,0.6124722326464538,0.5183616724772271,12.002220429305615,2.968250603063046,0,,1,4,4
4,4965,1.974620749272503,9.969900180612195,0.6136008798538103,0.4863091279830346,11.941901276899245,2.9407126473982745,0,,1,4,4
5,5055,2.0166424302179013,9.976158885189049,0.6251414310490262,0.5057380185198632,11.988154873230574,3.0063037427159753,0,,1,4,4
6,5103,2.7393195077964063,10.163423145840538,0.6431743459679742,0.6933902504109654,12.901538164799959,3.2660876342828624,0,,1,4,4
7,4970,2.4006457361618585,10.093432432559721,0.6221521414479843,0.5918258585676804,12.492732008581042,3.08043442435962,0,,1,4,4
8,4973,1.7740347407230623,10.061772720639391,0.6196848055026459,0.43753685256406794,11.818344517705127,2.9162760745746454,1,0.24221681654307758,1,4,4
9,4955,2.264237444342673,10.193098514786547,0.6271644294465528,0.5569078222676924,12.460185678442606,3.0655655400539006,0,,1,4,4
10,5094,2.2739817909353706,10.233575130980812,0.6462831964913148,0.5745864703881338,12.506198687451391,3.1597192563533887,0,,1,4,4
11,5021,2.161826176812348,9.893326585467065,0.6167172428968148,0.5386211817939371,12.055152762279455,3.005490153381191,0,,1,4,4
12,5128,1.6599597252990106,9.90745469165059,0.6296279208005259,0.4222357872685182,11.557874367806594,2.9407474704706265,0,,1,4,4
13,5006,2.1930473202178913,10.062758971609886,0.6224969374581678,0.5509543811532817,12.229209705359036,3.040942130985959,13,12.104234938632894,1,4,4
